redirect_from_path,redirect_to_path
/resources-endorsements-horse-first-cart-last-building-ourselves-before-we-build-others,/resources/member-statements/2017-10-29/horse-first-cart-last-building-ourselves-before-we-build-others
/resources-endorsements-how-to-build-working-class-power,/resources/member-statements/2017-10-29/how-to-build-working-class-power
/resources-endorsements-issues-and-candidates-rpas-strategy,/resources/member-statements/2017-10-29/issues-and-candidates-rpas-strategy
/resources-endorsements-its-about-understanding-our-own-power,/resources/member-statements/2017-10-29/its-about-understanding-our-own-power
/resources-endorsements-jovanka-is-a-corporate-money-free-democratic-socialist,/resources/member-statements/2017-10-29/jovanka-is-a-corporate-money-free-democratic-socialist
/resources-endorsements-jovankas-campaign-is-an-opportunity-to-build-power,/resources/member-statements/2017-10-29/jovankas-campaign-is-an-opportunity-to-build-power
/resources-endorsements-no-deals-build-our-own-the-time-is-now,/resources/member-statements/2017-10-29/no-deals-build-our-own-the-time-is-now
/resources-endorsements-our-first-priority-should-be-membership-growth,/resources/member-statements/2017-10-29/our-first-priority-should-be-membership-growth
/resources-endorsements-practicing-electoral-politics,/resources/member-statements/2017-10-29/practicing-electoral-politics
/resources-endorsements-solidarity-over-insularity,/resources/member-statements/2017-10-29/solidarity-over-insularity
/resources-endorsements-the-means-not-the-ends,/resources/member-statements/2017-10-29/the-means-not-the-ends
/resources-endorsements-three-criteria-for-electoral-engagement-three-reasons-to-organize-with-rpa,/resources/member-statements/2017-10-29/three-criteria-for-electoral-engagement-three-reasons-to-organize-with-rpa
/resources-endorsements-until-members-have-agency-ebdsa-should-not-endorse,/resources/member-statements/2017-10-29/until-members-have-agency-ebdsa-should-not-endorse
/resources-endorsements-we-need-independence-from-capitalist-parties-their-representatives,/resources/member-statements/2017-10-29/we-need-independence-from-capitalist-parties-their-representatives
/resources-endorsements-whether-we-endorse-or-not-our-approach-should-be-boots-on-the-ground,/resources/member-statements/2017-10-29/whether-we-endorse-or-not-our-approach-should-be-boots-on-the-ground
/resources-endorsements-why-we-should-canvas-for-jovanka-and-gayle,/resources/member-statements/2017-10-29/why-we-should-canvas-for-jovanka-and-gayle
/resources-minutes,/resources/minutes
/resources-minutes-2016-11-12-general-meeting-unlisted,/resources/minutes/general-meeting-2016-11-12
/resources-minutes-2016-11-19-general-meeting-unlisted,/resources/minutes/general-meeting-2016-11-19
/resources-minutes-2016-23-11-coordinating-committee-meeting-unlisted,/resources/minutes/coordinating-committee-meeting-2016-11-23
